"#","RefDes","Value","Name","Manufacturer"
"1","C1, C2, C4, C5, C6, C21","100n","CAP MLCC 100n X7R","AVX"
"2","C3, C22","10uF","CAP Electro 10u","Elna"
"3","C7, C9, C10","100uF","CAP Electro 10u","Elna"
"4","D1, D2, D3","Schottky Rectifier","DIODE SS1F4-M3/H","Vishay"
"5","D4","","DIODE",""
"6","J1","","Eurorack Power Header 2x8","Amphenol"
"7","J2","","90131-0129","Molex"
"8","J3","","87758-02","Molex"
"9","L1, L2, L3","","Ferrite Bead 0805","Laird Technologies"
"10","PTC1, PTC2, PTC3",".1A Hold, .3A Trip","FUSE PTC .1A Hold","Bel Fuse"
"11","R1, R4, R6, R8, R13, R16, R19, R20, R21, R22, R25, R28, R29, R30, R31, R32, R33","1k","RES",""
"12","R2, R3, R5, R7, R9, R10, R11, R12, R14, R15, R17, R18, R23, R24, R26, R27","10k","RES",""
"13","R34","100k","RES",""
"14","R35","6.8k","RES",""
"15","U1","","Metro Mini 328 - 5V 16MHz","Adafruit"
"16","U2","","DAC5578","Texas Instruments"
"17","U3","","7805","Atmel"
"18","U4, U6","","TL074J","Texas Instruments"
"19","U5","","6n138",""
